,date,value
0,2022-10-01,298.012
1,2022-09-01,296.808
2,2022-08-01,296.171
3,2022-07-01,296.276
4,2022-06-01,296.311
5,2022-05-01,292.296
6,2022-04-01,289.109
7,2022-03-01,287.504
8,2022-02-01,283.716
9,2022-01-01,281.148
10,2021-12-01,278.802
11,2021-11-01,277.948
12,2021-10-01,276.589
13,2021-09-01,274.310
14,2021-08-01,273.567
15,2021-07-01,273.003
16,2021-06-01,271.696
17,2021-05-01,269.195
18,2021-04-01,267.054
19,2021-03-01,264.877
20,2021-02-01,263.014
21,2021-01-01,261.582
22,2020-12-01,260.474
23,2020-11-01,260.229
24,2020-10-01,260.388
25,2020-09-01,260.280
26,2020-08-01,259.918
27,2020-07-01,259.101
28,2020-06-01,257.797
29,2020-05-01,256.394
30,2020-04-01,256.389
31,2020-03-01,258.115
32,2020-02-01,258.678
33,2020-01-01,257.971
34,2019-12-01,256.974
35,2019-11-01,257.208
36,2019-10-01,257.346
37,2019-09-01,256.759
38,2019-08-01,256.558
39,2019-07-01,256.571
40,2019-06-01,256.143
41,2019-05-01,256.092
42,2019-04-01,255.548
43,2019-03-01,254.202
44,2019-02-01,252.776
45,2019-01-01,251.712
46,2018-12-01,251.233
47,2018-11-01,252.038
48,2018-10-01,252.885
49,2018-09-01,252.439
50,2018-08-01,252.146
51,2018-07-01,252.006
52,2018-06-01,251.989
53,2018-05-01,251.588
54,2018-04-01,250.546
55,2018-03-01,249.554
56,2018-02-01,248.991
57,2018-01-01,247.867
58,2017-12-01,246.524
59,2017-11-01,246.669
60,2017-10-01,246.663
61,2017-09-01,246.819
62,2017-08-01,245.519
63,2017-07-01,244.786
64,2017-06-01,244.955
65,2017-05-01,244.733
66,2017-04-01,244.524
67,2017-03-01,243.801
68,2017-02-01,243.603
69,2017-01-01,242.839
70,2016-12-01,241.432
71,2016-11-01,241.353
72,2016-10-01,241.729
73,2016-09-01,241.428
74,2016-08-01,240.849
75,2016-07-01,240.628
76,2016-06-01,241.018
77,2016-05-01,240.229
78,2016-04-01,239.261
79,2016-03-01,238.132
80,2016-02-01,237.111
81,2016-01-01,236.916
82,2015-12-01,236.525
83,2015-11-01,237.336
84,2015-10-01,237.838
85,2015-09-01,237.945
86,2015-08-01,238.316
