,date,value
0,2022-10-01,3.98
1,2022-09-01,3.52
2,2022-08-01,2.90
3,2022-07-01,2.90
4,2022-06-01,3.14
5,2022-05-01,2.90
6,2022-04-01,2.75
7,2022-03-01,2.13
8,2022-02-01,1.93
9,2022-01-01,1.76
10,2021-12-01,1.47
11,2021-11-01,1.56
12,2021-10-01,1.58
13,2021-09-01,1.37
14,2021-08-01,1.28
15,2021-07-01,1.32
16,2021-06-01,1.52
17,2021-05-01,1.62
18,2021-04-01,1.64
19,2021-03-01,1.61
20,2021-02-01,1.26
21,2021-01-01,1.08
22,2020-12-01,0.93
23,2020-11-01,0.87
24,2020-10-01,0.79
25,2020-09-01,0.68
26,2020-08-01,0.65
27,2020-07-01,0.62
28,2020-06-01,0.73
29,2020-05-01,0.67
30,2020-04-01,0.66
31,2020-03-01,0.87
32,2020-02-01,1.50
33,2020-01-01,1.76
34,2019-12-01,1.86
35,2019-11-01,1.81
36,2019-10-01,1.71
37,2019-09-01,1.70
38,2019-08-01,1.63
39,2019-07-01,2.06
40,2019-06-01,2.07
41,2019-05-01,2.40
42,2019-04-01,2.53
43,2019-03-01,2.57
44,2019-02-01,2.68
45,2019-01-01,2.71
46,2018-12-01,2.83
47,2018-11-01,3.12
48,2018-10-01,3.15
49,2018-09-01,3.00
50,2018-08-01,2.89
51,2018-07-01,2.89
52,2018-06-01,2.91
53,2018-05-01,2.98
54,2018-04-01,2.87
55,2018-03-01,2.84
56,2018-02-01,2.86
57,2018-01-01,2.58
58,2017-12-01,2.40
59,2017-11-01,2.35
60,2017-10-01,2.36
61,2017-09-01,2.20
62,2017-08-01,2.21
63,2017-07-01,2.32
64,2017-06-01,2.19
65,2017-05-01,2.30
66,2017-04-01,2.30
67,2017-03-01,2.48
68,2017-02-01,2.42
69,2017-01-01,2.43
70,2016-12-01,2.49
71,2016-11-01,2.14
72,2016-10-01,1.76
73,2016-09-01,1.63
74,2016-08-01,1.56
75,2016-07-01,1.50
76,2016-06-01,1.64
77,2016-05-01,1.81
78,2016-04-01,1.81
79,2016-03-01,1.89
80,2016-02-01,1.78
81,2016-01-01,2.09
82,2015-12-01,2.24
83,2015-11-01,2.26
84,2015-10-01,2.07
85,2015-09-01,2.17
86,2015-08-01,2.17
87,2015-07-01,2.32
88,2015-06-01,2.36
89,2015-05-01,2.20
90,2015-04-01,1.94
91,2015-03-01,2.04
92,2015-02-01,1.98
93,2015-01-01,1.88
94,2014-12-01,2.21
95,2014-11-01,2.33
96,2014-10-01,2.30
97,2014-09-01,2.53
98,2014-08-01,2.42
99,2014-07-01,2.54
100,2014-06-01,2.60
101,2014-05-01,2.56
102,2014-04-01,2.71
103,2014-03-01,2.72
104,2014-02-01,2.71
105,2014-01-01,2.86
106,2013-12-01,2.90
107,2013-11-01,2.72
108,2013-10-01,2.62
109,2013-09-01,2.81
110,2013-08-01,2.74
111,2013-07-01,2.58
112,2013-06-01,2.30
113,2013-05-01,1.93
114,2013-04-01,1.76
115,2013-03-01,1.96
116,2013-02-01,1.98
117,2013-01-01,1.91
118,2012-12-01,1.72
119,2012-11-01,1.65
120,2012-10-01,1.75
121,2012-09-01,1.72
122,2012-08-01,1.68
123,2012-07-01,1.53
124,2012-06-01,1.62
125,2012-05-01,1.80
126,2012-04-01,2.05
127,2012-03-01,2.17
128,2012-02-01,1.97
129,2012-01-01,1.97
130,2011-12-01,1.98
131,2011-11-01,2.01
132,2011-10-01,2.15
133,2011-09-01,1.98
134,2011-08-01,2.30
