,date,value
0,2022-10-01,3.7
1,2022-09-01,3.5
2,2022-08-01,3.7
3,2022-07-01,3.5
4,2022-06-01,3.6
5,2022-05-01,3.6
6,2022-04-01,3.6
7,2022-03-01,3.6
8,2022-02-01,3.8
9,2022-01-01,4.0
10,2021-12-01,3.9
11,2021-11-01,4.2
12,2021-10-01,4.6
13,2021-09-01,4.7
14,2021-08-01,5.2
15,2021-07-01,5.4
16,2021-06-01,5.9
17,2021-05-01,5.8
18,2021-04-01,6.0
19,2021-03-01,6.0
20,2021-02-01,6.2
21,2021-01-01,6.4
22,2020-12-01,6.7
23,2020-11-01,6.7
24,2020-10-01,6.9
25,2020-09-01,7.9
26,2020-08-01,8.4
27,2020-07-01,10.2
28,2020-06-01,11.0
29,2020-05-01,13.2
30,2020-04-01,14.7
31,2020-03-01,4.4
32,2020-02-01,3.5
33,2020-01-01,3.5
34,2019-12-01,3.6
35,2019-11-01,3.6
36,2019-10-01,3.6
37,2019-09-01,3.5
38,2019-08-01,3.7
39,2019-07-01,3.7
40,2019-06-01,3.6
41,2019-05-01,3.6
42,2019-04-01,3.6
43,2019-03-01,3.8
44,2019-02-01,3.8
45,2019-01-01,4.0
46,2018-12-01,3.9
47,2018-11-01,3.8
48,2018-10-01,3.8
49,2018-09-01,3.7
50,2018-08-01,3.8
51,2018-07-01,3.8
52,2018-06-01,4.0
53,2018-05-01,3.8
54,2018-04-01,4.0
55,2018-03-01,4.0
56,2018-02-01,4.1
57,2018-01-01,4.0
58,2017-12-01,4.1
59,2017-11-01,4.2
60,2017-10-01,4.2
61,2017-09-01,4.3
62,2017-08-01,4.4
63,2017-07-01,4.3
64,2017-06-01,4.3
65,2017-05-01,4.4
66,2017-04-01,4.4
67,2017-03-01,4.4
68,2017-02-01,4.6
69,2017-01-01,4.7
70,2016-12-01,4.7
71,2016-11-01,4.7
72,2016-10-01,4.9
73,2016-09-01,5.0
74,2016-08-01,4.9
75,2016-07-01,4.8
76,2016-06-01,4.9
77,2016-05-01,4.8
78,2016-04-01,5.1
79,2016-03-01,5.0
80,2016-02-01,4.9
81,2016-01-01,4.8
82,2015-12-01,5.0
83,2015-11-01,5.1
84,2015-10-01,5.0
85,2015-09-01,5.0
86,2015-08-01,5.1
87,2015-07-01,5.2
88,2015-06-01,5.3
89,2015-05-01,5.6
90,2015-04-01,5.4
91,2015-03-01,5.4
92,2015-02-01,5.5
93,2015-01-01,5.7
94,2014-12-01,5.6
95,2014-11-01,5.8
96,2014-10-01,5.7
97,2014-09-01,5.9
98,2014-08-01,6.1
99,2014-07-01,6.2
100,2014-06-01,6.1
101,2014-05-01,6.3
102,2014-04-01,6.2
103,2014-03-01,6.7
104,2014-02-01,6.7
105,2014-01-01,6.6
106,2013-12-01,6.7
107,2013-11-01,6.9
108,2013-10-01,7.2
109,2013-09-01,7.2
110,2013-08-01,7.2
111,2013-07-01,7.3
112,2013-06-01,7.5
113,2013-05-01,7.5
114,2013-04-01,7.6
115,2013-03-01,7.5
116,2013-02-01,7.7
117,2013-01-01,8.0
118,2012-12-01,7.9
119,2012-11-01,7.7
120,2012-10-01,7.8
121,2012-09-01,7.8
122,2012-08-01,8.1
123,2012-07-01,8.2
124,2012-06-01,8.2
125,2012-05-01,8.2
126,2012-04-01,8.2
127,2012-03-01,8.2
128,2012-02-01,8.3
129,2012-01-01,8.3
130,2011-12-01,8.5
131,2011-11-01,8.6
132,2011-10-01,8.8
133,2011-09-01,9.0
134,2011-08-01,9.0
135,2011-07-01,9.0
136,2011-06-01,9.1
137,2011-05-01,9.0
138,2011-04-01,9.1
139,2011-03-01,9.0
140,2011-02-01,9.0
141,2011-01-01,9.1
142,2010-12-01,9.3
143,2010-11-01,9.8
144,2010-10-01,9.4
145,2010-09-01,9.5
146,2010-08-01,9.5
147,2010-07-01,9.4
148,2010-06-01,9.4
149,2010-05-01,9.6
150,2010-04-01,9.9
151,2010-03-01,9.9
152,2010-02-01,9.8
153,2010-01-01,9.8
154,2009-12-01,9.9
155,2009-11-01,9.9
156,2009-10-01,10.0
157,2009-09-01,9.8
158,2009-08-01,9.6
159,2009-07-01,9.5
160,2009-06-01,9.5
161,2009-05-01,9.4
162,2009-04-01,9.0
163,2009-03-01,8.7
164,2009-02-01,8.3
165,2009-01-01,7.8
166,2008-12-01,7.3
167,2008-11-01,6.8
168,2008-10-01,6.5
169,2008-09-01,6.1
170,2008-08-01,6.1
171,2008-07-01,5.8
172,2008-06-01,5.6
173,2008-05-01,5.4
174,2008-04-01,5.0
175,2008-03-01,5.1
176,2008-02-01,4.9
177,2008-01-01,5.0
178,2007-12-01,5.0
179,2007-11-01,4.7
180,2007-10-01,4.7
181,2007-09-01,4.7
182,2007-08-01,4.6
183,2007-07-01,4.7
184,2007-06-01,4.6
185,2007-05-01,4.4
186,2007-04-01,4.5
187,2007-03-01,4.4
188,2007-02-01,4.5
189,2007-01-01,4.6
190,2006-12-01,4.4
191,2006-11-01,4.5
192,2006-10-01,4.4
193,2006-09-01,4.5
194,2006-08-01,4.7
195,2006-07-01,4.7
196,2006-06-01,4.6
197,2006-05-01,4.6
198,2006-04-01,4.7
199,2006-03-01,4.7
200,2006-02-01,4.8
201,2006-01-01,4.7
202,2005-12-01,4.9
203,2005-11-01,5.0
204,2005-10-01,5.0
205,2005-09-01,5.0
206,2005-08-01,4.9
207,2005-07-01,5.0
208,2005-06-01,5.0
209,2005-05-01,5.1
210,2005-04-01,5.2
211,2005-03-01,5.2
212,2005-02-01,5.4
213,2005-01-01,5.3
214,2004-12-01,5.4
215,2004-11-01,5.4
216,2004-10-01,5.5
217,2004-09-01,5.4
218,2004-08-01,5.4
219,2004-07-01,5.5
220,2004-06-01,5.6
221,2004-05-01,5.6
222,2004-04-01,5.6
223,2004-03-01,5.8
224,2004-02-01,5.6
225,2004-01-01,5.7
226,2003-12-01,5.7
227,2003-11-01,5.8
228,2003-10-01,6.0
229,2003-09-01,6.1
230,2003-08-01,6.1
231,2003-07-01,6.2
232,2003-06-01,6.3
233,2003-05-01,6.1
234,2003-04-01,6.0
235,2003-03-01,5.9
236,2003-02-01,5.9
237,2003-01-01,5.8
238,2002-12-01,6.0
239,2002-11-01,5.9
240,2002-10-01,5.7
241,2002-09-01,5.7
242,2002-08-01,5.7
243,2002-07-01,5.8
244,2002-06-01,5.8
245,2002-05-01,5.8
246,2002-04-01,5.9
247,2002-03-01,5.7
248,2002-02-01,5.7
249,2002-01-01,5.7
250,2001-12-01,5.7
251,2001-11-01,5.5
252,2001-10-01,5.3
253,2001-09-01,5.0
254,2001-08-01,4.9
255,2001-07-01,4.6
256,2001-06-01,4.5
257,2001-05-01,4.3
258,2001-04-01,4.4
259,2001-03-01,4.3
260,2001-02-01,4.2
261,2001-01-01,4.2
262,2000-12-01,3.9
263,2000-11-01,3.9
264,2000-10-01,3.9
265,2000-09-01,3.9
266,2000-08-01,4.1
267,2000-07-01,4.0
268,2000-06-01,4.0
269,2000-05-01,4.0
270,2000-04-01,3.8
271,2000-03-01,4.0
272,2000-02-01,4.1
273,2000-01-01,4.0
274,1999-12-01,4.0
275,1999-11-01,4.1
276,1999-10-01,4.1
277,1999-09-01,4.2
278,1999-08-01,4.2
279,1999-07-01,4.3
280,1999-06-01,4.3
281,1999-05-01,4.2
282,1999-04-01,4.3
283,1999-03-01,4.2
284,1999-02-01,4.4
285,1999-01-01,4.3
286,1998-12-01,4.4
287,1998-11-01,4.4
288,1998-10-01,4.5
289,1998-09-01,4.6
290,1998-08-01,4.5
291,1998-07-01,4.5
292,1998-06-01,4.5
293,1998-05-01,4.4
294,1998-04-01,4.3
295,1998-03-01,4.7
296,1998-02-01,4.6
297,1998-01-01,4.6
298,1997-12-01,4.7
299,1997-11-01,4.6
300,1997-10-01,4.7
301,1997-09-01,4.9
302,1997-08-01,4.8
303,1997-07-01,4.9
304,1997-06-01,5.0
305,1997-05-01,4.9
306,1997-04-01,5.1
307,1997-03-01,5.2
308,1997-02-01,5.2
309,1997-01-01,5.3
310,1996-12-01,5.4
311,1996-11-01,5.4
312,1996-10-01,5.2
